"Town","Restriction Type","Total Estimated length (m)","Total Estimated spaces"
"Lynmouth","No Waiting",746.00,134.00
"Lynmouth","No Waiting At Any Time",1752.00,308.00
"Lynton","Clearway route",377.00,68.00
"Lynton","Disabled Parking",10.00,1.00
"Lynton","Limited Waiting",300.00,57.00
"Lynton","No Loading At Any Time",35.00,6.00
"Lynton","No Waiting",935.00,162.00
"Lynton","No Waiting At Any Time",2573.00,450.00
"Lynton","Taxi Bay",11.00,2.00
"Malborough","Keep Clear Marking (TRO)",26.00,4.00
"Malborough","No Waiting At Any Time",829.00,144.00
"Marldon","Bus Stop Clearway",50.00,3.00
"Marldon","Disabled Parking",7.00,1.00
"Marldon","Keep Clear Marking (TRO)",63.00,10.00
"Marldon","No Waiting At Any Time",807.00,137.00
"Marldon","Residents Permit Parking",20.00,3.00
"Merton","No Waiting At Any Time",12.00,2.00
"Modbury","Bus Stop Clearway",14.00,1.00
"Modbury","Disabled Parking",7.00,1.00
"Modbury","Keep Clear Marking (TRO)",95.00,15.00
"Modbury","Limited Waiting",74.00,15.00
"Modbury","No Loading At Any Time",55.00,8.00
"Modbury","No Waiting At Any Time",2083.00,365.00
"Monkleigh","Keep Clear Marking (TRO)",25.00,4.00
"Moorhaven","No Waiting At Any Time",35.00,6.00
"Moretonhampstead","Disabled Parking",7.00,1.00
"Moretonhampstead","Keep Clear Marking (TRO)",31.00,5.00
"Moretonhampstead","Limited Waiting",169.00,31.00
"Moretonhampstead","Loading Only",18.00,1.00
"Moretonhampstead","No Loading",14.00,3.00
"Moretonhampstead","No Loading At Any Time",168.00,30.00
"Moretonhampstead","No Waiting",34.00,6.00
"Moretonhampstead","No Waiting At Any Time",2903.00,514.00
"Mortehoe","Clearway route",496.00,90.00
"Mortehoe","Limited Waiting",12.00,2.00
"Mortehoe","No Waiting",992.00,178.00
"Mortehoe","No Waiting At Any Time",804.00,143.00
"Muddlebridge","Bus Stop Clearway",151.00,11.00
"Musbury","No Waiting At Any Time",50.00,8.00
"Newton Abbot","Bus Stop Clearway",551.00,37.00
"Newton Abbot","Disabled Parking",138.00,17.00
"Newton Abbot","Disabled Parking (Advisory)",17.00,2.00
"Newton Abbot","Keep Clear Marking (TRO)",307.00,52.00
"Newton Abbot","Limited Waiting",1216.00,230.00
"Newton Abbot","Loading Only",360.00,29.00
"Newton Abbot","No Loading",906.00,160.00
"Newton Abbot","No Loading At Any Time",2847.00,502.00
"Newton Abbot","No Waiting",7421.00,1304.00
"Newton Abbot","No Waiting At Any Time",23069.00,4090.00
"Newton Abbot","Pay & Display",1375.00,264.00
"Newton Abbot","Permit Holders Only",12.00,2.00
"Newton Abbot","Residents Permit Parking",3697.00,725.00
"Newton Abbot","Taxi Bay",36.00,5.00
"Newton Ferrers","Keep Clear Marking (TRO)",49.00,8.00
"Newton Ferrers","Limited Waiting",168.00,31.00
"Newton Ferrers","No Waiting",390.00,69.00
"Newton Ferrers","No Waiting At Any Time",806.00,142.00
"Newton Poppleford","Bus Stop Clearway",82.00,5.00
"Newton Poppleford","Keep Clear Marking (TRO)",40.00,7.00
"Newton Poppleford","No Waiting At Any Time",332.00,53.00
"Newton St Cyres","Bus Stop Clearway",39.00,2.00
"Newton St Cyres","No Waiting At Any Time",245.00,40.00
"North Tawton","Bus Stop Clearway",11.00,1.00
"North Tawton","Disabled Parking",9.00,1.00
"North Tawton","Keep Clear Marking (TRO)",32.00,5.00
"North Tawton","Loading Only",9.00,1.00
"North Tawton","No Loading At Any Time",239.00,40.00
"North Tawton","No Waiting At Any Time",1583.00,277.00
"Northam","Bus Stop Clearway",151.00,10.00
"Northam","Keep Clear Marking (TRO)",80.00,13.00
"Northam","Limited Waiting",82.00,16.00
"Northam","No Waiting",209.00,37.00
"Northam","No Waiting At Any Time",3937.00,687.00
"Noss Mayo","No Waiting At Any Time",1190.00,213.00
"Ogwell","Keep Clear Marking (TRO)",45.00,8.00
"Ogwell","No Waiting At Any Time",952.00,162.00
"Okehampton","Bus Stop Clearway",199.00,12.00
"Okehampton","Disabled Parking",72.00,7.00
"Okehampton","Limited Waiting",567.00,107.00
"Okehampton","Loading Only",85.00,7.00
"Okehampton","No Loading",244.00,43.00
"Okehampton","No Loading At Any Time",722.00,120.00
"Okehampton","No Waiting",972.00,166.00
"Okehampton","No Waiting At Any Time",8140.00,1434.00
"Okehampton","Taxi Bay",12.00,2.00
"Otterton","No Waiting At Any Time",641.00,116.00
"Ottery St Mary","Disabled Parking",24.00,3.00
"Ottery St Mary","Limited Waiting",219.00,42.00
"Ottery St Mary","Loading Only",30.00,3.00
"Ottery St Mary","No Loading",74.00,13.00
